Energy,Spectral_spread,Spectral_rollof,MFCC2,MFCC3,Class
0.0363,0.167,0.397,-0.253,-1.82,Cry
0.0315,0.156,0.27,-0.255,-1.85,Cry
0.0366,0.166,0.383,-0.211,-1.86,Cry
0.029,0.164,0.409,-0.212,-1.91,Cry
0.039,0.164,0.394,-0.246,-1.66,Cry
0.0339,0.166,0.404,-0.295,-1.81,Cry
0.0356,0.166,0.399,-0.299,-1.83,Cry
0.0303,0.157,0.276,-0.258,-1.87,Cry
0.037,0.167,0.382,-0.222,-1.86,Cry
0.0298,0.164,0.41,-0.221,-1.92,Cry
0.0381,0.164,0.394,-0.232,-1.66,Cry
0.0355,0.166,0.402,-0.29,-1.8,Cry
0.0349,0.166,0.4,-0.31,-1.83,Cry
0.0305,0.157,0.281,-0.263,-1.87,Cry
0.0364,0.167,0.381,-0.223,-1.85,Cry
0.0309,0.166,0.407,-0.213,-1.91,Cry
0.0374,0.165,0.398,-0.252,-1.67,Cry
0.0362,0.166,0.4,-0.261,-1.75,Cry
0.034,0.167,0.403,-0.291,-1.82,Cry
0.031,0.157,0.285,-0.224,-1.84,Cry
0.0374,0.167,0.378,-0.23,-1.87,Cry
0.0337,0.165,0.404,-0.167,-1.86,Cry
0.0355,0.164,0.403,-0.265,-1.68,Cry
0.036,0.165,0.399,-0.286,-1.78,Cry
0.0352,0.166,0.403,-0.284,-1.84,Cry
0.0319,0.158,0.291,-0.226,-1.84,Cry
0.0358,0.167,0.373,-0.245,-1.85,Cry
0.0343,0.165,0.404,-0.206,-1.9,Cry
0.0344,0.164,0.404,-0.281,-1.69,Cry
0.0364,0.165,0.399,-0.238,-1.73,Cry
0.0346,0.166,0.404,-0.299,-1.85,Cry
0.0318,0.159,0.296,-0.232,-1.84,Cry
0.0344,0.166,0.365,-0.24,-1.85,Cry
0.0331,0.165,0.404,-0.206,-1.89,Cry
0.035,0.164,0.404,-0.25,-1.73,Cry
0.036,0.165,0.399,-0.252,-1.76,Cry
0.0349,0.166,0.404,-0.272,-1.81,Cry
0.0333,0.161,0.295,-0.284,-1.86,Cry
0.0348,0.167,0.367,-0.239,-1.84,Cry
0.0329,0.165,0.404,-0.217,-1.91,Cry
0.0343,0.164,0.403,-0.253,-1.74,Cry
0.0364,0.165,0.399,-0.235,-1.76,Cry
0.0345,0.166,0.404,-0.307,-1.86,Cry
0.033,0.161,0.298,-0.277,-1.87,Cry
0.0335,0.166,0.364,-0.221,-1.85,Cry
0.0339,0.165,0.404,-0.242,-1.93,Cry
0.0339,0.165,0.404,-0.244,-1.74,Cry
0.0352,0.166,0.4,-0.243,-1.74,Cry
0.0337,0.166,0.404,-0.295,-1.84,Cry
0.0339,0.162,0.302,-0.26,-1.86,Cry
0.0339,0.166,0.357,-0.214,-1.85,Cry
0.0346,0.165,0.403,-0.217,-1.89,Cry
0.0349,0.164,0.403,-0.266,-1.78,Cry
