ZCR,Energy,Spectral_centroid,Spectral_spread,Spectral_rollof,MFCC1,MFCC2,MFCC3,MFCC5,MFCC6,MFCC7,Chroma_vector11,Class
0.0705,0.0181,0.159,0.175,0.09,-29.1,1.5,0.891,-0.174,-0.172,0.0853,1.82E-05,Cry
0.0789,0.0139,0.177,0.173,0.151,-28.9,-1.16,1.82,0.113,0.329,-0.102,0.000127,Cry
0.081,0.00475,0.19,0.168,0.201,-28.3,-0.573,0.631,0.00983,0.247,-0.435,7.09E-05,Cry
0.0913,0.00466,0.188,0.16,0.218,-29.8,-1.42,0.825,-0.141,0.432,-0.202,5.76E-05,Cry
0.0837,0.0121,0.17,0.168,0.151,-29.4,-1.98,1.82,-0.203,0.504,-0.165,0.000162,Cry
0.0889,0.0122,0.176,0.162,0.162,-29.3,-1.9,1.73,-0.034,0.525,-0.243,4.53E-05,Cry
0.0727,0.00664,0.169,0.17,0.145,-30.2,-1.7,1.68,-0.248,0.512,-0.0848,1.57E-05,Cry
0.0785,0.00671,0.19,0.17,0.27,-26.6,0.572,1.43,-0.0269,0.396,0.319,5.61E-05,Cry
0.078,0.00381,0.182,0.159,0.209,-28.9,0.32,1.63,0.0438,0.536,0.0849,3.09E-05,Cry
0.0576,0.00584,0.179,0.161,0.197,-27.5,0.11,1.39,0.158,0.457,0.152,4.43E-05,Cry
0.0536,0.00321,0.161,0.173,0.117,-25,1.82,0.814,-0.163,0.451,0.361,0.000173,Cry
0.0648,0.00504,0.177,0.155,0.238,-26.6,0.756,1.03,-0.733,0.531,0.106,2.37E-05,Cry
0.0795,0.00372,0.189,0.159,0.229,-27.6,0.483,1.17,-0.697,0.72,0.0774,2.79E-05,Cry
0.0984,0.0138,0.168,0.176,0.133,-29.4,-0.603,0.756,0.333,-0.148,0.00881,2.79E-05,Cry
0.103,0.00692,0.168,0.15,0.149,-31.4,-0.519,0.655,0.233,-0.171,0.272,7.82E-05,Cry
0.0914,0.00989,0.104,0.126,0.0367,-27.3,-0.72,0.394,-0.443,0.134,0.255,1.23E-05,Cry
0.108,0.00411,0.18,0.147,0.213,-31.9,-0.493,0.733,0.199,-0.208,0.258,8.68E-05,Cry
0.086,0.00689,0.134,0.138,0.127,-30.6,-0.736,0.86,0.355,-0.506,0.185,2.7E-05,Cry
0.0819,0.00992,0.147,0.134,0.138,-30.3,-1.27,0.557,-0.15,0.229,0.138,5.07E-05,Cry
0.101,0.00503,0.155,0.154,0.125,-30.9,-1.19,0.781,0.152,0.0858,-0.109,0.000648,Cry
0.161,0.0004,0.239,0.204,0.323,-24.7,0.0368,-0.324,-0.767,0.539,-0.247,0.000334,Cry
0.149,0.00238,0.238,0.229,0.257,-22,-0.0411,-0.407,-0.146,-0.0188,-0.136,0.00061,Cry
0.138,0.000739,0.194,0.208,0.102,-27.5,0.46,-0.46,-0.135,-0.069,-0.152,5.25E-05,Cry
0.113,0.00429,0.175,0.148,0.188,-33,-0.591,0.562,-0.00491,-0.0342,-0.0531,5.74E-05,Cry
0.0998,0.0113,0.174,0.155,0.168,-32.1,-0.545,0.416,0.0795,-0.00407,0.16,1.46E-05,Cry
0.111,0.00417,0.177,0.176,0.132,-31,-0.386,0.268,0.00196,-0.266,0.298,3.18E-05,Cry
0.0877,0.0046,0.159,0.107,0.181,-29.3,0.00248,0.353,-0.15,1.21,1.16,1.07E-05,Cry
0.104,0.00824,0.174,0.115,0.192,-29.2,-0.0983,-0.232,-0.268,0.467,1.2,1.27E-05,Cry
0.0623,0.00255,0.157,0.117,0.185,-29.3,-0.806,-0.0134,-0.364,0.43,0.89,1.28E-05,Cry
0.0909,0.00456,0.188,0.133,0.212,-30.6,-0.551,0.0207,-0.321,0.712,0.742,1.16E-05,Cry
0.0974,0.00522,0.175,0.122,0.198,-32.5,-1.19,0.851,-0.073,0.677,0.143,1.42E-05,Cry
0.0607,0.0117,0.17,0.186,0.116,-29.7,0.324,0.288,0.148,0.0432,0.24,5.78E-05,Cry
0.0909,0.0213,0.199,0.194,0.181,-30.7,-0.18,-0.255,-0.293,-0.143,0.172,0.000109,Cry
